"Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999"
"Stuart Dallas,nir NIR,MFDF,29,37.9,74,45,46,22,6,30,88,34.1,58,41,3,38,44,118,52,1,Matches,67ca8566"
"Luke Ayling,eng ENG,DF,28,37.8,108,61,69,30,9,49,87,56.3,38,53,36,17,36,144,96,5,Matches,420d7c7d"
"Patrick Bamford,eng ENG,FW,26,33.9,21,9,2,11,8,8,27,29.6,19,14,4,10,10,31,37,0,Matches,93feac6e"
"Illan Meslier,fr FRA,GK,20,35.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,17,8,Matches,6b625ac2"
"Jack Harrison,eng ENG,MFFW,23,31.6,63,38,20,30,13,26,59,44.1,33,30,2,28,15,78,21,0,Matches,aa849a12"
"Ezgjan Alioski,mk MKD,DFMF,28,27.3,74,31,38,28,8,32,74,43.2,42,17,2,15,23,97,50,2,Matches,1a7fcf39"
"Kalvin Phillips,eng ENG,MF,24,27.0,74,38,38,29,7,26,62,41.9,36,49,14,35,45,119,53,3,Matches,4f565d77"
"Mateusz Klich,pl POL,MF,30,26.6,38,20,14,20,4,14,61,23.0,47,13,4,9,11,49,16,0,Matches,282679b4"
"Raphinha,br BRA,MFFW,23,26.2,34,17,13,16,5,12,58,20.7,46,31,1,30,29,63,27,0,Matches,3423f250"
"Liam Cooper,sct SCO,DF,28,24.3,68,45,39,27,2,37,59,62.7,22,39,32,7,61,129,70,1,Matches,dc64b8b3"
"Pascal Struijk,nl NED,DFMF,20,23.1,49,30,28,19,2,17,28,60.7,11,35,21,14,47,96,92,0,Matches,f4d296e4"
"Tyler Roberts,wls WAL,MFFW,21,14.9,15,13,1,11,3,5,22,22.7,17,17,2,15,9,24,12,0,Matches,6c17e046"
"Rodrigo,es ESP,MFFW,29,14.3,14,7,8,3,3,4,22,18.2,18,7,0,7,5,19,16,0,Matches,1fb1c435"
"Diego Llorente,es ESP,DF,26,13.4,34,21,21,13,0,19,32,59.4,13,18,13,5,20,54,40,2,Matches,bba30585"
"Hélder Costa,ao ANG,MFFW,26,12.8,25,11,12,5,8,11,32,34.4,21,11,0,11,3,28,5,1,Matches,f13d02a6"
"Robin Koch,de GER,DFMF,24,12.6,27,16,17,10,0,10,19,52.6,9,18,12,6,27,54,34,2,Matches,ea6bc03a"
"Jamie Shackleton,eng ENG,MFDF,20,5.1,10,6,6,4,0,4,11,36.4,7,3,1,2,9,19,3,0,Matches,8d03ca5a"
"Pablo Hernández,es ESP,MF,35,4.7,5,3,2,1,2,5,16,31.3,11,2,0,2,0,5,0,1,Matches,c0398aca"
"Kiko Casilla,es ESP,GK,33,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,58bc7d18"
"Gaetano Berardi,ch SUI,DF,31,1.3,2,2,1,0,1,0,0,,0,2,1,1,1,3,2,0,Matches,5348aada"
"Ian Carlo Poveda,eng ENG,MF,20,3.9,5,4,3,0,2,1,7,14.3,6,5,1,4,1,6,2,0,Matches,55b4f1d6"
"Niall Huggins,wls WAL,DF,19,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches,6d646ff7"
"Leif Davis,eng ENG,DF,20,0.4,0,0,0,0,0,0,3,0.0,3,1,0,1,1,1,0,0,Matches,8574c61f"
"Squad Total,,,26.1,38.0,740,417,378,279,83,310,769,40.3,459,406,149,257,397,1137,646,26,,-9999"
