"Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999"
"Stuart Dallas,nir NIR,MFDF,29,37.9,8,48,18,37.5,1.27,0.48,0.17,0.44,20.5,0,0,0,4.2,4.2,0.09,+3.8,+3.8,Matches,67ca8566"
"Luke Ayling,eng ENG,DF,28,37.8,0,24,6,25.0,0.64,0.16,0.00,0.00,18.7,0,0,0,1.7,1.7,0.07,-1.7,-1.7,Matches,420d7c7d"
"Patrick Bamford,eng ENG,FW,26,33.9,17,105,46,43.8,3.10,1.36,0.14,0.33,13.2,0,2,2,18.2,16.6,0.16,-1.2,-1.6,Matches,93feac6e"
"Illan Meslier,fr FRA,GK,20,35.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6b625ac2"
"Jack Harrison,eng ENG,MFFW,23,31.6,8,45,19,42.2,1.42,0.60,0.18,0.42,15.6,1,0,0,5.8,5.8,0.13,+2.2,+2.2,Matches,aa849a12"
"Ezgjan Alioski,mk MKD,DFMF,28,27.3,2,25,8,32.0,0.91,0.29,0.08,0.25,19.0,0,0,0,1.6,1.6,0.06,+0.4,+0.4,Matches,1a7fcf39"
"Kalvin Phillips,eng ENG,MF,24,27.0,1,15,5,33.3,0.56,0.19,0.07,0.20,27.5,3,0,0,0.5,0.5,0.04,+0.5,+0.5,Matches,4f565d77"
"Mateusz Klich,pl POL,MF,30,26.6,4,34,9,26.5,1.28,0.34,0.06,0.22,22.9,0,2,2,3.0,1.4,0.04,+1.0,+0.6,Matches,282679b4"
"Raphinha,br BRA,MFFW,23,26.2,6,67,24,35.8,2.56,0.92,0.09,0.25,17.2,4,0,0,5.7,5.7,0.09,+0.3,+0.3,Matches,3423f250"
"Liam Cooper,sct SCO,DF,28,24.3,1,15,8,53.3,0.62,0.33,0.07,0.13,8.9,0,0,0,1.8,1.8,0.12,-0.8,-0.8,Matches,dc64b8b3"
"Pascal Struijk,nl NED,DFMF,20,23.1,1,14,4,28.6,0.61,0.17,0.07,0.25,9.8,0,0,0,1.7,1.7,0.12,-0.7,-0.7,Matches,f4d296e4"
"Tyler Roberts,wls WAL,MFFW,21,14.9,1,26,12,46.2,1.75,0.81,0.04,0.08,19.4,0,0,0,1.8,1.8,0.07,-0.8,-0.8,Matches,6c17e046"
"Rodrigo,es ESP,MFFW,29,14.3,7,46,18,39.1,3.21,1.26,0.15,0.39,16.4,1,0,0,5.1,5.1,0.11,+1.9,+1.9,Matches,1fb1c435"
"Diego Llorente,es ESP,DF,26,13.4,1,8,3,37.5,0.60,0.22,0.13,0.33,17.4,0,0,0,0.8,0.8,0.10,+0.2,+0.2,Matches,bba30585"
"Hélder Costa,ao ANG,MFFW,26,12.8,3,16,6,37.5,1.25,0.47,0.19,0.50,14.8,0,0,0,2.2,2.2,0.14,+0.8,+0.8,Matches,f13d02a6"
"Robin Koch,de GER,DFMF,24,12.6,0,9,1,11.1,0.72,0.08,0.00,0.00,12.3,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches,ea6bc03a"
"Jamie Shackleton,eng ENG,MFDF,20,5.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8d03ca5a"
"Pablo Hernández,es ESP,MF,35,4.7,0,15,3,20.0,3.16,0.63,0.00,0.00,19.0,0,0,0,1.1,1.1,0.07,-1.1,-1.1,Matches,c0398aca"
"Kiko Casilla,es ESP,GK,33,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,58bc7d18"
"Gaetano Berardi,ch SUI,DF,31,1.3,0,1,0,0.0,0.80,0.00,0.00,,8.3,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches,5348aada"
"Ian Carlo Poveda,eng ENG,MF,20,3.9,0,5,3,60.0,1.27,0.76,0.00,0.00,17.8,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,55b4f1d6"
"Niall Huggins,wls WAL,DF,19,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6d646ff7"
"Leif Davis,eng ENG,DF,20,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8574c61f"
"Squad Total,,,26.1,38.0,60,518,193,37.3,13.63,5.08,0.11,0.29,16.9,9,4,4,55.6,52.5,0.10,+4.4,+3.5,,-9999"
