"Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999"
"Conor Coady,eng ENG,DF,26,38.0,21,0.55,21,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,2928dca2"
"Rui Patrício,pt POR,GK,31,38.0,4,0.11,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,79b0d6a0"
"Raúl Jiménez,mx MEX,FW,28,36.0,97,2.70,64,1,13,9,7,3,13,0.36,8,0,2,1,2,0,Matches,b561db50"
"Rúben Neves,pt POR,MF,22,34.0,76,2.24,61,1,3,6,1,4,3,0.09,2,0,0,1,0,0,Matches,44bfb6c5"
"João Moutinho,pt POR,MF,32,34.5,125,3.62,68,56,0,1,0,0,10,0.29,7,3,0,0,0,0,Matches,f5a00fa4"
"Jonny Castro,es ESP,MFDF,25,32.1,64,2.00,51,3,1,0,3,6,7,0.22,5,1,0,0,1,0,Matches,e28868f3"
"Matt Doherty,ie IRL,MFDF,27,31.5,63,2.00,44,1,6,10,2,0,14,0.44,6,0,3,4,1,0,Matches,d557d734"
"Leander Dendoncker,be BEL,MFDF,24,31.1,23,0.74,21,0,0,1,0,1,1,0.03,1,0,0,0,0,0,Matches,5a7301ae"
"Romain Saïss,ma MAR,DF,29,30.1,30,1.00,24,1,1,3,0,1,2,0.07,1,0,0,1,0,0,Matches,9fbbcf39"
"Adama Traoré,es ESP,FWDF,23,28.9,111,3.83,67,0,31,1,10,2,15,0.52,11,0,3,0,1,0,Matches,9a28eba4"
"Diogo Jota,pt POR,FW,22,25.4,102,4.02,56,0,15,13,17,1,7,0.28,5,0,0,1,1,0,Matches,178ae8f8"
"Willy Boly,ci CIV,DF,28,22.0,13,0.59,13,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches,a4ac4b8f"
"Pedro Neto,pt POR,FWMF,19,10.4,34,3.26,20,5,7,0,2,0,5,0.48,4,1,0,0,0,0,Matches,7ba2eaa9"
"Ryan Bennett,eng ENG,DF,29,6.7,8,1.19,6,2,0,0,0,0,1,0.15,0,1,0,0,0,0,Matches,0bad4516"
"Rúben Vinagre,pt POR,MFDF,20,7.2,10,1.38,8,0,1,0,1,0,1,0.14,1,0,0,0,0,0,Matches,b937e490"
"Patrick Cutrone,it ITA,FW,21,3.3,5,1.52,2,0,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches,a4fe8cda"
"Daniel Podence,pt POR,FWMF,23,3.2,10,3.11,6,0,1,1,2,0,2,0.62,0,0,1,0,1,0,Matches,7fcc71d8"
"Max Kilman,eng ENG,DF,22,2.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,d0f72bf1"
"Jesús Vallejo,es ESP,DF,22,1.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c2111b45"
"Morgan Gibbs-White,eng ENG,MFFW,19,1.4,4,2.79,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,32f60ed8"
"Bruno Jordão,pt POR,FW,20,0.1,1,12.86,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,41ff002d"
"Squad Total,,,26.6,38.0,801,21.08,541,70,79,47,46,18,83,2.18,53,6,9,8,7,0,,-9999"
