Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Mathias JÃ¸rgensen,dk DEN,DF,27,38.0,55,36,40,13,2,19,45,42.2,26,49,20,29,76,131,249,5
Jonas LÃ¶ssl,dk DEN,GK,28,38.0,1,0,1,0,0,1,5,20.0,4,0,0,0,4,5,13,6
Christopher Schindler,de GER,DF,27,36.3,83,61,56,27,0,24,41,58.5,17,54,30,24,75,158,275,1
Aaron Mooy,au AUS,MF,26,34.1,102,60,39,51,12,23,55,41.8,32,39,5,34,38,140,52,0
Jonathan Hogg,eng ENG,MF,28,26.6,93,64,29,59,5,26,89,29.2,63,51,12,39,69,162,48,0
Tom Ince,eng ENG,MFFW,25,27.2,35,27,14,16,5,10,29,34.5,19,20,0,20,12,47,12,0
Rajiv van La Parra,nl NED,FWMF,26,23.7,41,29,18,15,8,12,41,29.3,29,27,1,26,21,62,8,1
Tommy Smith,eng ENG,DF,25,21.2,38,27,18,14,6,23,36,63.9,13,22,6,16,26,64,80,3
Steve MouniÃ©,bj BEN,FW,22,20.6,11,8,2,4,5,0,19,0.0,19,23,3,20,7,18,30,0
Florent Hadergjonaj,xk KVX,DFMF,23,18.6,21,16,7,10,4,12,30,40.0,18,22,10,12,17,38,45,0
Chris LÃ¶we,de GER,DF,28,17.6,43,29,26,15,2,20,44,45.5,24,21,8,13,34,77,65,3
Laurent Depoitre,be BEL,FW,28,20.2,14,8,4,8,2,3,21,14.3,18,15,3,12,11,25,36,0
Elias Kachunga,cd COD,FWMF,25,14.8,30,26,13,12,5,8,19,42.1,11,14,1,13,2,32,9,0
Collin Quaner,de GER,FWMF,26,14.2,22,15,8,8,6,9,26,34.6,17,24,4,20,11,33,15,0
Scott Malone,eng ENG,DF,26,12.4,39,29,27,10,2,17,24,70.8,7,12,2,10,26,65,43,2
Alex Pritchard,eng ENG,MFFW,24,11.1,18,8,2,6,10,10,21,47.6,11,6,1,5,5,23,11,0
Danny Williams,us USA,MF,28,12.5,23,14,13,9,1,7,22,31.8,15,12,2,10,26,49,27,0
Terence Kongolo,nl NED,DF,23,11.7,33,20,19,13,1,14,22,63.6,8,12,6,6,32,65,71,0
Philip Billing,dk DEN,MF,21,8.5,25,16,11,11,3,8,22,36.4,14,17,1,16,18,43,19,0
Joe Lolley,eng ENG,FWMF,24,2.5,2,0,1,1,0,0,2,0.0,2,0,0,0,3,5,2,1
Abdelhamid Sabiri,ma MAR,MF,20,2.4,5,4,2,0,3,1,7,14.3,6,4,0,4,1,6,2,0
Martin Cranie,eng ENG,DF,30,2.0,3,2,2,1,0,0,1,0.0,1,3,3,0,1,4,10,0
Kasey Palmer,jm JAM,MFFW,20,1.9,6,3,2,3,1,2,8,25.0,6,5,0,5,0,6,2,0
Dean Whitehead,eng ENG,MF,35,0.8,0,0,0,0,0,0,1,0.0,1,1,0,1,2,2,0,0
Michael Hefele,de GER,DF,26,0.4,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0
Squad Total,,,26.4,38.0,743,502,354,306,83,249,630,39.5,381,453,118,335,518,1261,1129,22
