Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Interceptions,TklWon,PKwon,PKcon,OG,Recov,AerialDuelWon,AerielDuelLost,AerialDuelWon%
Illan Meslier,fr FRA,GK,21,37.6,2,0,0,0,8,0,0,0,1,0,0,0,25,13,2,86.7
Stuart Dallas,nir NIR,DFMF,30,32.4,5,0,0,33,30,2,101,57,55,0,1,0,219,32,34,48.5
Raphinha,br BRA,FWMF,24,32.4,7,0,0,40,47,14,162,29,29,1,1,0,166,22,31,41.5
Jack Harrison,eng ENG,FWMF,24,29.3,3,0,0,29,23,4,142,21,37,0,0,0,170,19,54,26.0
Daniel James,wls WAL,FWMF,23,26.3,7,1,0,30,38,13,60,8,14,1,0,0,82,13,53,19.7
Diego Llorente,es ESP,DF,27,26.0,7,0,0,23,21,0,2,40,31,0,0,0,171,49,64,43.4
Rodrigo,es ESP,MFFW,30,25.2,9,0,0,21,30,4,29,11,9,0,0,0,103,17,48,26.2
Luke Ayling,eng ENG,DF,29,25.2,4,1,0,22,19,2,31,28,42,0,1,0,187,34,50,40.5
Mateusz Klich,pl POL,MF,31,23.0,5,0,0,40,15,2,30,11,25,0,1,0,171,7,13,35.0
Pascal Struijk,nl NED,DFMF,21,22.8,6,1,0,25,8,1,0,33,39,0,0,0,161,40,39,50.6
Liam Cooper,sct SCO,DF,29,20.2,5,0,0,19,9,2,1,43,23,0,1,0,118,82,44,65.1
Junior Firpo,es ESP,DFMF,24,19.0,11,0,0,39,15,1,26,24,28,0,0,1,89,27,19,58.7
Kalvin Phillips,eng ENG,MF,25,17.7,4,0,0,33,19,0,16,24,25,0,0,0,180,17,29,37.0
Robin Koch,de GER,MFDF,25,17.5,3,0,0,22,10,0,4,20,13,0,0,0,104,45,44,50.6
Adam Forshaw,eng ENG,MF,29,17.0,5,0,0,26,15,2,5,19,23,0,0,0,119,11,11,50.0
Tyler Roberts,wls WAL,MFFW,22,11.0,5,0,0,14,20,3,14,5,7,0,0,0,47,8,23,25.8
Jamie Shackleton,eng ENG,DFMF,21,7.9,4,0,0,13,6,0,4,8,16,0,0,0,50,5,15,25.0
Patrick Bamford,eng ENG,FW,27,6.2,2,0,0,5,5,5,3,2,0,0,0,0,12,5,14,26.3
Joe Gelhardt,eng ENG,FWMF,19,8.3,4,0,0,17,24,5,3,0,3,2,0,0,30,11,21,34.4
Sam Greenwood,eng ENG,MFFW,19,2.6,0,0,0,7,2,2,6,2,5,0,0,0,14,2,3,40.0
Lewis Bate,eng ENG,MF,18,1.6,0,0,0,3,1,0,0,1,0,0,0,0,8,0,2,0.0
Charlie Cresswell,eng ENG,DF,18,1.6,1,0,0,3,0,1,1,2,2,0,0,0,6,6,3,66.7
Cody Drameh,eng ENG,DFMF,19,1.4,1,0,0,2,0,0,2,1,2,0,0,0,3,1,1,50.0
Leo Fuhr Hjelde,no NOR,MFDF,17,1.7,0,0,0,1,0,0,3,4,4,0,0,0,9,3,2,60.0
Crysencio Summerville,nl NED,MFFW,19,1.4,0,0,0,1,1,0,3,2,3,0,0,0,11,0,6,0.0
Kristoffer Klaesson,no NOR,GK,20,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
H̩lder Costa,ao ANG,MF,27,0.2,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0.0
Liam McCarron,sct SCO,FW,20,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Stuart McKinstry,sct SCO,MF,18,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Squad Total,,,26.1,38.0,101,3,0,469,368,63,648,395,436,4,5,1,2260,470,626,42.9
