Player,Nation,Pos,Age,90s,Tkl,TklWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VSDribblesTkl,VSDribblesAtt,VSDribblesTkl%,VSDribblesPast,Blocks,ShotBlock,PassBlock,Interceptions,Tkl+Int,Clearances,Errors
Illan Meslier,fr FRA,GK,21,37.6,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,27,1
Stuart Dallas,nir NIR,DFMF,30,32.4,93,55,58,31,4,56,105,53.3,49,45,14,31,57,150,63,2
Raphinha,br BRA,FWMF,24,32.4,51,29,25,14,12,22,71,31.0,49,43,0,43,29,80,28,1
Jack Harrison,eng ENG,FWMF,24,29.3,57,37,22,22,13,31,76,40.8,45,35,1,34,21,78,19,0
Daniel James,wls WAL,FWMF,23,26.3,24,14,8,8,8,10,23,43.5,13,18,1,17,8,32,12,0
Diego Llorente,es ESP,DF,27,26.0,53,31,32,19,2,33,47,70.2,14,35,17,18,40,93,77,2
Rodrigo,es ESP,MFFW,30,25.2,20,9,7,6,7,4,32,12.5,28,12,0,12,11,31,27,1
Luke Ayling,eng ENG,DF,29,25.2,74,42,46,23,5,51,97,52.6,46,46,25,21,28,102,52,1
Mateusz Klich,pl POL,MF,31,23.0,47,25,18,23,6,25,66,37.9,41,22,4,18,11,58,20,0
Pascal Struijk,nl NED,DFMF,21,22.8,61,39,34,23,4,30,50,60.0,20,35,23,12,33,94,60,2
Liam Cooper,sct SCO,DF,29,20.2,41,23,27,13,1,23,33,69.7,10,29,18,11,43,84,72,2
Junior Firpo,es ESP,DFMF,24,19.0,60,28,29,26,5,31,59,52.5,28,22,6,16,24,84,38,0
Kalvin Phillips,eng ENG,MF,25,17.7,54,25,24,25,5,24,57,42.1,33,37,9,28,24,78,18,0
Robin Koch,de GER,MFDF,25,17.5,21,13,9,10,2,9,34,26.5,25,26,10,16,20,41,44,0
Adam Forshaw,eng ENG,MF,29,17.0,53,23,21,27,5,21,54,38.9,33,17,1,16,19,72,12,2
Tyler Roberts,wls WAL,MFFW,22,11.0,16,7,6,7,3,9,16,56.3,7,11,1,10,5,21,11,0
Jamie Shackleton,eng ENG,DFMF,21,7.9,27,16,19,7,1,13,25,52.0,12,11,7,4,8,35,12,1
Patrick Bamford,eng ENG,FW,27,6.2,1,0,0,1,0,0,3,0.0,3,8,2,6,2,3,8,0
Joe Gelhardt,eng ENG,FWMF,19,8.3,4,3,1,0,3,2,10,20.0,8,9,0,9,0,4,3,0
Sam Greenwood,eng ENG,MFFW,19,2.6,8,5,0,5,3,4,7,57.1,3,3,0,3,2,10,1,0
Lewis Bate,eng ENG,MF,18,1.6,1,0,0,0,1,0,8,0.0,8,1,0,1,1,2,1,0
Charlie Cresswell,eng ENG,DF,18,1.6,5,2,1,4,0,3,3,100.0,0,1,1,0,2,7,6,0
Cody Drameh,eng ENG,DFMF,19,1.4,4,2,3,1,0,1,3,33.3,2,0,0,0,1,5,4,0
Leo Fuhr Hjelde,no NOR,MFDF,17,1.7,5,4,3,2,0,3,3,100.0,0,3,3,0,4,9,7,0
Crysencio Summerville,nl NED,MFFW,19,1.4,5,3,1,1,3,2,3,66.7,1,2,0,2,2,7,0,0
Kristoffer Klaesson,no NOR,GK,20,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
H̩lder Costa,ao ANG,MF,27,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Liam McCarron,sct SCO,FW,20,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Stuart McKinstry,sct SCO,MF,18,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Squad Total,,,26.1,38.0,786,436,395,298,93,408,886,46.0,478,473,143,330,395,1181,622,15
