Player,Nation,Pos,Age,90s,CmpTotal,AttemptedTotal,Cmp%Total,TotDist,ProgressiveDist,ShortCmp,ShortAttempted,ShortCmp%,MediumCmp,MediumAttempt,MediumCmp%,LongCmp,LongAttempted,LongCmp%,Assists,xAG,xA,A-xAG,KeyPasses,CompletedFinalThird,PassesPenaltyArea,CrossesPA,ProgressivePasses
Jamaal Lascelles,eng ENG,DF,23,32.5,918,1195,76.8,17019,7376,346,393,88.0,448,545,82.2,100,204,49.0,0,0.7,0.8,-0.7,6,59,4,0,59
Matt Ritchie,sct SCO,MFFW,27,31.2,834,1279,65.2,13965,4500,418,488,85.7,267,399,66.9,108,280,38.6,5,6.0,4.7,-1.0,52,65,28,14,81
DeAndre Yedlin,us USA,DF,24,31.6,1032,1398,73.8,15393,6339,594,670,88.7,347,492,70.5,59,158,37.3,2,2.0,1.4,0.0,19,58,26,16,66
Ayoze PÃ©rez,es ESP,MFFW,24,27.7,515,745,69.1,6748,1456,316,396,79.8,140,205,68.3,16,44,36.4,5,4.7,2.5,+0.3,36,47,17,2,42
Jonjo Shelvey,eng ENG,MF,25,25.2,1031,1480,69.7,21940,8865,378,436,86.7,421,541,77.8,213,442,48.2,3,2.5,3.7,+0.5,40,159,32,8,136
Florian Lejeune,fr FRA,DF,26,23.4,826,1082,76.3,17237,7245,282,321,87.9,391,468,83.5,134,253,53.0,2,1.5,1.3,+0.5,7,66,1,0,62
Mohamed DiamÃ©,sn SEN,MF,30,22.7,666,825,80.7,10938,3057,333,388,85.8,237,282,84.0,60,91,65.9,0,0.7,0.5,-0.7,13,64,7,1,59
Dwight Gayle,eng ENG,FW,26,21.8,319,444,71.8,3885,609,213,277,76.9,73,100,73.0,8,25,32.0,3,2.0,1.2,+1.0,21,17,3,0,15
Javier Manquillo,es ESP,DF,23,19.5,561,766,73.2,8676,3549,306,363,84.3,202,278,72.7,36,78,46.2,1,1.3,0.5,-0.3,11,35,7,5,39
Christian Atsu,gh GHA,FWMF,25,19.8,359,513,70.0,4775,1436,220,256,85.9,95,148,64.2,14,38,36.8,2,2.6,2.0,-0.6,25,21,16,3,33
Ciaran Clark,ie IRL,DF,27,19.4,511,715,71.5,10211,4381,171,199,85.9,251,308,81.5,71,176,40.3,1,0.7,0.4,+0.3,4,43,3,0,27
Joselu,es ESP,FW,27,19.0,374,605,61.8,4732,1098,259,377,68.7,82,153,53.6,13,23,56.5,1,1.2,0.5,-0.2,16,34,6,1,31
Paul Dummett,wls WAL,DF,25,17.8,535,779,68.7,8906,4389,252,304,82.9,223,305,73.1,43,119,36.1,0,0.3,0.6,-0.3,6,50,7,3,49
Rob Elliot,ie IRL,GK,31,16.0,308,537,57.4,12289,10902,23,23,100.0,102,105,97.1,183,408,44.9,0,0.0,0.1,0.0,0,9,0,0,0
Isaac Hayden,eng ENG,MF,22,15.3,405,550,73.6,6070,1768,226,279,81.0,142,183,77.6,20,41,48.8,0,0.6,1.2,-0.6,11,37,12,5,35
Mikel Merino,es ESP,MF,21,15.0,645,818,78.9,10947,3524,281,342,82.2,268,314,85.4,61,105,58.1,1,0.9,0.7,+0.1,16,84,14,0,88
Jacob Murphy,eng ENG,MFFW,22,12.8,194,325,59.7,2872,1007,117,158,74.1,53,87,60.9,14,45,31.1,1,1.3,1.0,-0.3,10,15,14,5,28
Kenedy,br BRA,MFDF,21,11.4,297,408,72.8,4218,1296,174,208,83.7,84,119,70.6,20,41,48.8,2,1.7,1.8,+0.3,13,14,12,6,16
Martin DÃºbravka,sk SVK,GK,28,12.0,203,348,58.3,6648,5292,24,24,100.0,93,94,98.9,86,230,37.4,0,0.0,0.0,0.0,0,7,0,0,0
Karl Darlow,eng ENG,GK,26,10.0,174,334,52.1,6615,5845,19,19,100.0,56,58,96.6,99,257,38.5,0,0.0,0.0,0.0,0,6,0,0,0
Chancel Mbemba,cd COD,DF,22,7.5,202,276,73.2,3454,1490,102,120,85.0,81,107,75.7,18,39,46.2,0,0.5,0.5,-0.5,4,11,6,4,17
Rolando Aarons,eng ENG,MFFW,21,1.5,29,44,65.9,376,77,24,30,80.0,2,5,40.0,2,3,66.7,0,0.0,0.0,0.0,0,2,1,1,0
Islam Slimani,dz ALG,FW,29,1.5,29,49,59.2,368,101,19,26,73.1,7,13,53.8,1,3,33.3,0,0.4,0.5,-0.4,4,1,1,0,3
JesÃºs GÃ¡mez,es ESP,DF,32,1.1,47,61,77.0,730,420,21,22,95.5,18,22,81.8,5,11,45.5,0,0.2,0.1,-0.2,4,5,3,1,9
Henri Saivet,sn SEN,MF,26,0.9,15,26,57.7,215,29,9,10,90.0,4,9,44.4,1,5,20.0,0,0.0,0.0,0.0,0,1,0,0,0
Aleksandar MitroviÄ,rs SRB,FW,22,1.1,40,55,72.7,496,72,24,30,80.0,13,18,72.2,0,0,,0,0.2,0.3,-0.2,3,1,0,0,4
Massadio HaÃ¯dara,ml MLI,FW,24,0.0,2,2,100.0,17,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Squad Total,,,25.6,38.0,11071,15659,70.7,199740,86123,5153,6161,83.6,4100,5358,76.5,1385,3119,44.4,29,32.1,26.1,-3.1,321,911,220,75,899
